MsgID.STATE,1526666818.5144691,False,False
MsgID.LOCAL_VELOCITY,1526666866.6365530,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6368520,0.1841269,0.0842565,-0.2231172
MsgID.LOCAL_VELOCITY,1526666866.6368520,0.0000069,0.0000058,0.0000132
MsgID.GLOBAL_POSITION,1526666866.6371682,-122.3974513,37.7924811,0.2200000
MsgID.LOCAL_VELOCITY,1526666866.6371682,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6374578,0.1235148,-0.1192771,-0.2200106
MsgID.LOCAL_VELOCITY,1526666866.6374578,-0.0000012,0.0000022,0.0000198
MsgID.STATE,1526666866.6378620,True,True
MsgID.GLOBAL_HOME,1526666866.6383660,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1526666866.6385448,-122.3974506,37.7924810,0.2040000
MsgID.LOCAL_VELOCITY,1526666866.6385448,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6387551,0.1187410,-0.0554250,-0.2040190
MsgID.LOCAL_VELOCITY,1526666866.6387551,0.0000032,-0.0000248,0.0000183
MsgID.GLOBAL_POSITION,1526666866.6392210,-122.3974487,37.7924792,0.1780000
MsgID.LOCAL_VELOCITY,1526666866.6392210,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6395640,-0.0816930,0.1071581,-0.1785033
MsgID.LOCAL_VELOCITY,1526666866.6395640,0.0000115,-0.0000087,0.0000207
MsgID.GLOBAL_POSITION,1526666866.6402850,-122.3974493,37.7924798,0.1390000
MsgID.LOCAL_VELOCITY,1526666866.6402850,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6405001,-0.0195881,0.0576566,-0.1393408
MsgID.LOCAL_VELOCITY,1526666866.6405001,0.0000037,0.0000094,0.0000129
MsgID.GLOBAL_POSITION,1526666866.6406820,-122.3974507,37.7924812,0.0930000
MsgID.LOCAL_VELOCITY,1526666866.6406820,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6408589,0.1435489,-0.0705302,-0.0939575
MsgID.LOCAL_VELOCITY,1526666866.6408589,0.0000180,0.0000030,0.0000179
MsgID.STATE,1526666866.6411610,True,True
MsgID.GLOBAL_HOME,1526666866.6415479,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1526666866.6417248,-122.3974496,37.7924801,0.0430000
MsgID.LOCAL_VELOCITY,1526666866.6417248,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6419132,0.0142627,0.0299722,-0.0433306
MsgID.LOCAL_VELOCITY,1526666866.6419132,-0.0000006,0.0000028,0.0000136
MsgID.GLOBAL_POSITION,1526666866.6421111,-122.3974478,37.7924804,0.0030000
MsgID.LOCAL_VELOCITY,1526666866.6421111,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6423681,0.0489883,0.1896775,-0.0036991
MsgID.LOCAL_VELOCITY,1526666866.6423681,0.0000091,-0.0000001,0.0000126
MsgID.LOCAL_POSITION,1526666866.6425390,-0.0870059,0.0704884,0.0300786
MsgID.LOCAL_VELOCITY,1526666866.6425390,0.0000113,-0.0000009,0.0000033
MsgID.GLOBAL_POSITION,1526666866.6427050,-122.3974492,37.7924792,-0.0300000
MsgID.LOCAL_VELOCITY,1526666866.6427050,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6428559,-0.1857162,-0.1204973,0.0436628
MsgID.LOCAL_VELOCITY,1526666866.6428559,-0.0000021,-0.0000010,0.0000001
MsgID.GLOBAL_POSITION,1526666866.6430211,-122.3974513,37.7924783,-0.0430000
MsgID.LOCAL_VELOCITY,1526666866.6430211,0.0000000,0.0000000,0.0000000
MsgID.STATE,1526666866.6432750,True,True
MsgID.GLOBAL_HOME,1526666866.6436539,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1526666866.6438909,-122.3974490,37.7924796,-0.0350000
MsgID.LOCAL_VELOCITY,1526666866.6438909,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6441422,-0.0405351,0.0872274,0.0355170
MsgID.LOCAL_VELOCITY,1526666866.6441422,-0.0000012,0.0000116,-0.0000017
MsgID.LOCAL_POSITION,1526666866.6444900,-0.0332985,0.1059288,0.0072117
MsgID.LOCAL_VELOCITY,1526666866.6444900,-0.0000107,0.0000075,0.0000004
MsgID.GLOBAL_POSITION,1526666866.6447380,-122.3974488,37.7924797,-0.0070000
MsgID.LOCAL_VELOCITY,1526666866.6447380,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6449459,-0.0984560,0.0094532,-0.0441364
MsgID.LOCAL_VELOCITY,1526666866.6449459,0.0000057,-0.0000022,0.0000138
MsgID.GLOBAL_POSITION,1526666866.6453409,-122.3974498,37.7924791,0.0440000
MsgID.LOCAL_VELOCITY,1526666866.6453409,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6455500,0.1062991,0.0110947,-0.0976638
MsgID.LOCAL_VELOCITY,1526666866.6455500,0.0000050,-0.0000111,0.0000205
MsgID.GLOBAL_POSITION,1526666866.6457520,-122.3974498,37.7924809,0.0970000
MsgID.LOCAL_VELOCITY,1526666866.6457520,0.0000000,0.0000000,0.0000000
MsgID.STATE,1526666866.6460600,True,True
MsgID.GLOBAL_HOME,1526666866.6463120,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1526666866.6465540,-122.3974489,37.7924802,0.1570000
MsgID.LOCAL_VELOCITY,1526666866.6465540,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6467199,0.0226068,0.0896568,-0.1572677
MsgID.LOCAL_VELOCITY,1526666866.6467199,-0.0000191,-0.0000206,0.0000168
MsgID.GLOBAL_POSITION,1526666866.6468930,-122.3974484,37.7924804,0.1980000
MsgID.LOCAL_VELOCITY,1526666866.6468930,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6470499,0.0499324,0.1337411,-0.1987616
MsgID.LOCAL_VELOCITY,1526666866.6470499,-0.0000116,-0.0000078,0.0000121
MsgID.GLOBAL_POSITION,1526666866.6472120,-122.3974497,37.7924812,0.2260000
